Channel Id,Channel Url,Channel Title
UCZn_h4YsrFy1ZjHGK7Z5NKw,http://www.youtube.com/channel/UCZn_h4YsrFy1ZjHGK7Z5NKw,Uniquenameosaurus
UCaSCt8s_4nfkRglWCvNSDrg,http://www.youtube.com/channel/UCaSCt8s_4nfkRglWCvNSDrg,CodeAesthetic
UCayHmrTQfWTSFjjaAKki4fQ,http://www.youtube.com/channel/UCayHmrTQfWTSFjjaAKki4fQ,The Woke Critic
UCayZHNob_pvVyP3mJuHIIiA,http://www.youtube.com/channel/UCayZHNob_pvVyP3mJuHIIiA,Baggage Claim
UCbbQalJ4OaC0oQ0AqRaOJ9g,http://www.youtube.com/channel/UCbbQalJ4OaC0oQ0AqRaOJ9g,Jay Foreman
UCcoO-8J0EYQHGPFQqwmAzVQ,http://www.youtube.com/channel/UCcoO-8J0EYQHGPFQqwmAzVQ,exurb2a
UCctjGdm2NlMNzIlxz02IsXA,http://www.youtube.com/channel/UCctjGdm2NlMNzIlxz02IsXA,Chris Ray Gun
UCeVBDgameAI0Qhf7leaPhYw,http://www.youtube.com/channel/UCeVBDgameAI0Qhf7leaPhYw,James Veitch
UCekQr9znsk2vWxBo3YiLq2w,http://www.youtube.com/channel/UCekQr9znsk2vWxBo3YiLq2w,You Suck At Cooking
UCfHmyqCntYHQ81ZukNu66rg,http://www.youtube.com/channel/UCfHmyqCntYHQ81ZukNu66rg,Razbuten
UCgqt1RE0k0MIr0LoyJRy2lg,http://www.youtube.com/channel/UCgqt1RE0k0MIr0LoyJRy2lg,Rational Animations
UChK_Pcyve19oBKwy4wgMjFg,http://www.youtube.com/channel/UChK_Pcyve19oBKwy4wgMjFg,greysfavs
UCimiUgDLbi6P17BdaCZpVbg,http://www.youtube.com/channel/UCimiUgDLbi6P17BdaCZpVbg,exurb1a
UCjFqcJQXGZ6T6sxyFB-5i6A,http://www.youtube.com/channel/UCjFqcJQXGZ6T6sxyFB-5i6A,Every Frame a Painting
UCkMTo4c_QgaMAURlmQdP-gQ,http://www.youtube.com/channel/UCkMTo4c_QgaMAURlmQdP-gQ,Ilyx
UClFLXO6ecX-ucJp9gGJYiDw,http://www.youtube.com/channel/UClFLXO6ecX-ucJp9gGJYiDw,Counter Arguments
