Channel Id,Channel Url,Channel Title
UCcoO-8J0EYQHGPFQqwmAzVQ,http://www.youtube.com/channel/UCcoO-8J0EYQHGPFQqwmAzVQ,exurb2a
UCdc_JyNaB5VJ0gdWUtWfGDg,http://www.youtube.com/channel/UCdc_JyNaB5VJ0gdWUtWfGDg,PyroLIVE
UCeVBDgameAI0Qhf7leaPhYw,http://www.youtube.com/channel/UCeVBDgameAI0Qhf7leaPhYw,James Veitch
UCekQr9znsk2vWxBo3YiLq2w,http://www.youtube.com/channel/UCekQr9znsk2vWxBo3YiLq2w,You Suck At Cooking
UCfHmyqCntYHQ81ZukNu66rg,http://www.youtube.com/channel/UCfHmyqCntYHQ81ZukNu66rg,Razbuten
UCfR9TgEotsz7Uj7QQJ67w8A,http://www.youtube.com/channel/UCfR9TgEotsz7Uj7QQJ67w8A,Jamie's Channel
UChK_Pcyve19oBKwy4wgMjFg,http://www.youtube.com/channel/UChK_Pcyve19oBKwy4wgMjFg,greysfavs
UCimiUgDLbi6P17BdaCZpVbg,http://www.youtube.com/channel/UCimiUgDLbi6P17BdaCZpVbg,exurb1a
UCj74rJ9Lgl3WTngq675wxKg,http://www.youtube.com/channel/UCj74rJ9Lgl3WTngq675wxKg,Noodle
UCjFqcJQXGZ6T6sxyFB-5i6A,http://www.youtube.com/channel/UCjFqcJQXGZ6T6sxyFB-5i6A,Every Frame a Painting
UCkDtCKtPKlsg-gJO_m5D0mQ,http://www.youtube.com/channel/UCkDtCKtPKlsg-gJO_m5D0mQ,Telepurte
UCkMTo4c_QgaMAURlmQdP-gQ,http://www.youtube.com/channel/UCkMTo4c_QgaMAURlmQdP-gQ,Ilyx
UClFLXO6ecX-ucJp9gGJYiDw,http://www.youtube.com/channel/UClFLXO6ecX-ucJp9gGJYiDw,Counter Arguments
UClksoSSPSm-oozXzDpdl37g,http://www.youtube.com/channel/UClksoSSPSm-oozXzDpdl37g,Swastikam
UCnZx--LpG2spgmlxOcC-DRA,http://www.youtube.com/channel/UCnZx--LpG2spgmlxOcC-DRA,Daniel Thrasher
UCo8bcnLyZH8tBIH9V1mLgqQ,http://www.youtube.com/channel/UCo8bcnLyZH8tBIH9V1mLgqQ,TheOdd1sOut
UCq6aw03lNILzV96UvEAASfQ,http://www.youtube.com/channel/UCq6aw03lNILzV96UvEAASfQ,bill wurtz
UCqFGKmOyrdlDPHPIDh0pgxg,http://www.youtube.com/channel/UCqFGKmOyrdlDPHPIDh0pgxg,Killer Bean
UCr3cBLTYmIK9kY0F_OdFWFQ,http://www.youtube.com/channel/UCr3cBLTYmIK9kY0F_OdFWFQ,Casually Explained
UCsHaCORAuXxrMDzC0hr8GPw,http://www.youtube.com/channel/UCsHaCORAuXxrMDzC0hr8GPw,MxR Plays
UCsvn_Po0SmunchJYOWpOxMg,http://www.youtube.com/channel/UCsvn_Po0SmunchJYOWpOxMg,videogamedunkey
UCtHaxi4GTYDpJgMSGy7AeSw,http://www.youtube.com/channel/UCtHaxi4GTYDpJgMSGy7AeSw,Michael Reeves
UCuPgdqQKpq4T4zeqmTelnFg,http://www.youtube.com/channel/UCuPgdqQKpq4T4zeqmTelnFg,kaptainkristian
UCv1Kcz-CuGM6mxzL3B1_Eiw,http://www.youtube.com/channel/UCv1Kcz-CuGM6mxzL3B1_Eiw,Gardiner Bryant | TLG
UCy9cb7U-Asbhbum0ZXArvfQ,http://www.youtube.com/channel/UCy9cb7U-Asbhbum0ZXArvfQ,Saiman Says
UCyhnYIvIKK_--PiJXCMKxQQ,http://www.youtube.com/channel/UCyhnYIvIKK_--PiJXCMKxQQ,Joseph Anderson

